"tweet","sentiment","id"
"Map shows where severe thunderstorms are possible this evening. Large hail & damaging wind the primary threats.  {link}",2,NA
"@mention not on an 80+ degree weather day. I did bring a cardigan to the office in case they crank the AC.",2,NA
"beautiful sunny Sunday in lawton =)",3,NA
"#WEATHER: 8:52 pm C: 65.0F. Feels F. 30.15% Humidity. 15.0MPH South Wind.",2,NA
"#WEATHER:  6:56 am : 61.0F. Feels 59F. 29.91% Humidity. 11.5MPH South Wind.",2,NA
"See, how come the weather wasn't nice like this for the weekend?!!? #MotherNature trippin!",3,NA
"Tornado warned storm heading near Joplin. Then heavy wind storm moving into the area. Those poor people.",2,NA
"RT @mention Absolutely LOVING this weather! Only thing that would make it better is the California beaches! #missinghome",3,NA
"#WEATHER:  3:53 pm : 74.0F. Feels F. 30.02% Humidity. 0.0MPH North Wind.",2,NA
"@mention hey girl! What do you mean you're being discussed? I know you were looking forward to the rally but the weather sucks!!!",1,NA
"Vestavia Hills getting rid of its storm debris using Minnesota contractor: City switched from plan to rely on Ar... {link}",2,NA
"Beautiful Colorado!  Snow still on Mountains!  {link}",3,NA
"RT @mention: either the weatherman in NC be fucking up bad or the weather is that bipolar.",1,NA
"still have baseball practice outside in this weather? #really??",1,NA
"Super mellow, steady 20mph trades at Kanaha yesterday + sunny & warm. Waves? Flat, flat, flat. Good day to be on the water though.",3,NA
"Yo weather, WTF? Syracuse is thatta way.",1,NA
"New event. Severe Thunderstorm Warning from 5/10/2011 4:17 PM to 5:15 PM EDT for Lawrence Count... Read more at {link}",2,NA
"humidity blows",1,NA
"It is too cold outside.. Means I am going to be in the house all day..",1,NA
"@mention this weather is $$$ too - had to shop around for oil b4 the tank went empty. New England, arrrgh!!!",1,NA
"Outside: 46.1 F, Humidity: 50%, Wind: (30) 7 mph, Press: 30.13"", Rain: 0.00",2,NA
"@mention I am staying up with you until danger is past. Radar showing t-storm coming through Joplin now. Doesn't look bad though.",2,NA
"Today's weather makes is nearly impossible to avoid carbs, cookies and baked goods of any kind. Where is the sun??",1,NA
"A new job, a new phone, good friends, and pretty weather.... #lifeisgood",3,NA
"#WEATHER:  1:53 am : 53.0F. Feels F. 29.92% Humidity. 3.5MPH Southeast Wind.",2,NA
"Feels so good outside. Its not to hot or cold.",3,NA
"@mention shid im guessing in the house its cold ass fuck outside",1,NA
"95 degrees out and the air conditioner broke. It literally feels like a sauna in my room.",1,NA
"RT @mention: Fast-moving line of strong thunderstorms is moving into St. Louis, Mo., area - stltoday.com {link}",2,NA
"#WEATHER:  1:53 pm : 60.0F. Feels 57F. 29.85% Humidity. 17.3MPH North Wind.",2,NA
"@mention as cold as I've been today, I'd almost believe your snow rather than hail. Was it a bad lightning storm?",1,NA
"It's a beautiful afternoon in California. The weather is perfect, sunny and breezy and the spirit of god is in the air!",3,NA
"RT @mention: if it thunderstorm's tonight.. i am going to sleep gooood :)",3,NA
"the world can't end tomorrow. it's supposed to be sunny in pittsburgh. #dontrainonmyparade",3,NA
"Went out 4 a walk 2 enjoy this lovely breezy sunny day. Now off 2 run errands. Shaggy good wishes 2 all! {link}",3,NA
"@mention *just* got here! Sunny and bright do far!",3,NA
"My hair feels like slapping the shit out of the humidity. When I see you, it's on! *Black hair tweet*",1,NA
"75.7F (Feels: 75.7F) - Humidity: 99% - Wind: 3.8mph E - Gust: 7.6mph - Pressure: 1008.4mb (-0.3)  #weather {link}",2,NA
"Anyone streaming video from the parks or resorts today? Looks like nice weather in WDW!",3,NA
"Strong t-storm moving NE thru Ridgeway, Omaha & New Haven in Gallatin county.  Small hail, 30-40mph winds & freq lightning  #tristatewx",2,NA
"@mention I blame humidity.  she is a conniving bitch.",1,NA
"awesome energy @mention today. Perfect weather for it all weekend @mention.",3,NA
"ugh, stupid weather, I want to watch #thevoice!",1,NA
"Saturday as of May. 20 3:38 PM CDT: Saturday - Mostly cloudy. Showers likely and a chance of thunderstorms in the... {link}",2,NA
"@mention ya i just looked at the weather and its not looking good at all! If you don't go let me know i want to do something",1,NA
"I thank God for waking me up to a beautiful, sunny day. #CountYourBlessings",3,NA
"It's super nice out & so boring at work...perhaps I'll go eat outside in my car on break just so I can enjoy this sunshine. Yes, I think so.",3,NA
"Go Giants! Had a great 1st mother's day at the ballpark. Very happy the weather was much nicer than forecast.",3,NA
"This weather shuts down all the fun no hot tubbing or swimming for me :(: {link}",1,NA
"Freezing my but off!",1,NA
"#WEATHER:  4:56 pm : 74.0F. Feels F. 29.62% Humidity. 23.0MPH South Wind.",2,NA
"Out the gym and feeling good in this act a fool weather",3,NA
"Wish the weather would make it's mind up. One minute it's raining then the next minute it's not.",1,NA
"RT @mention: This weather is fucking bipolar",1,NA
"RT @mention: wants it to be sunny so I can get a fricking tan!",1,NA
"Outside: 51.0 F, Humidity: 73%, Wind: (347) 5 mph, Press: 29.91"", Rain: 0.00",2,NA
"RT @mention: Weather Forecast: This Afternoon: Showers/Stray T-Storms. High: 70 Tonight: Early shower/drying out. Low:57 Tomorrow: Br ...",2,NA
"I hate this time of the month #FML & it's hot out ughhhh",1,NA
"@mention yes it was! Perfect weather.",3,NA
"Oh my god. This weather is insane.",1,NA
"It's a lil chilly outside now, bout to put on some heavier clothes",2,NA
"Great weather in #Vegas looking forward to seeing all the ladies at the pools rocking @mention #summerfasion #poolseason",3,NA
"Perfect weather today!",3,NA
"@mention Funny enuf the weather was perfect. Perfect sunshine. Ungeenda tu, hehe",3,NA
"Lovely sunny day.",3,NA
"i feel so sticky from this weather though! ew #showerTime",1,NA
"#Boise! I'm here! Weather is phenomenal! Soo excited! Dinner at @mention in 2 hours! My fave! Red Robin... #YUM!",3,NA
"What a gorgeous day! Seriously! My mood has turned a complete 180 degrees. I hope nothing ruins it!",3,NA
"#WEATHER: 4:53 am E: 74.0F. Feels F. 29.98% Humidity. 0.0MPH North Wind.",2,NA
"What a treat to visit Wagner Nursery and Oak Gardens today. Need to see some color on a gray and rainy day in... {link}",1,NA
"90 degrees outside at 4 pm! That's way to hot!!",1,NA
"#WEATHER:  5:53 pm : 88.0F. Feels F. 29.86% Humidity. 18.4MPH North Wind.",2,NA
"Another B E A U TIFUL DAY in Sunny Cali!!! Let's enjoy it!! Remember we r ur one STOP-SHOP for studio, digital, & video!!! #lightboxstudio",3,NA
"@mention merci beaucoup! it looks beautiful outside today - although i'm betting it's not as warm as I'd like it to be :P  lol",3,NA
"Love this weather &lt;3",3,NA
"Perfect weather today! Thank goodness!",3,NA
"is in NYC enjoying the weather :p i love my sis so much, been hunting an apartment for my sis and i think we got it D: $4.75 million #Swagga",3,NA
"**Weather Update** All games for Sunday May 15th have been canceled",2,NA
"The one day my hair looks good , its windy as tits outside? #bipolar much? sheeeit. Hoodie today.",1,NA
"RT @mention Has this ill weather Met with thee too?",1,NA
"How is the weather at GABP @mention and @mention ?",2,NA
"Track the Severe Weather here: {link}",2,NA
"Cracked a window cuz its hot af in my room. I miss the cold, rainy nights.",1,NA
"Twisters claim lives, toss cars in Okla. - Weather - msnbc.com {link} via @mention",2,NA
"#WEATHER:  3:55 pm : 79.0F. Feels F. 29.57% Humidity. 15.0MPH South Wind.",2,NA
"@mention I'm great thanks, sat outside a coffee shop with my hubby in the sunshine :) Can't be bad x",3,NA
"Isolated thunderstorms this afternoon, high 63 (17 C).  Low  46 (8 C) tonight.",2,NA
"#WEATHER:  3:54 am : 61.0F. Feels F. 29.79% Humidity. 0.0MPH North Wind.",2,NA
"#TBW issues Severe Thunderstorm Warning for  Highlands [FL] till 1:15 PM EDT {link}",2,NA
"Severe Thunderstorm Warning for Callaway, Gasconade, Montgomery and Osage County until 7:00pm CDT.",2,NA
"It should never be 50 degrees in May in Alabama. Certainly not on a Monday. Sigh. Do your job, Sun.",1,NA
"BBQing in a few hours for the H's birthday...finally some beautiful weather that we can take advantage of!",3,NA
"New Fleet Foxes and sunshine...this day off is off to an AWESOME start. *grin*",3,NA
"WTF is up with thus weather?? Last time I checked it was May not January",1,NA
"i cant wait til' the 80degree weather !",3,NA
"#WEATHER:  1:54 am : 62.0F. Feels 62F. 29.56% Humidity. 5.8MPH East Wind.",2,NA
"Friday and the weather is NICE. Happy hour w/ @mention then #bridesmaids",3,NA
"#Noblesville,IN This weather stinks-dreary rain again. Dancing w/Hailey to @mention! Can't wait til Louisville & Indy shows w/@mention !",1,NA
"Ran 4.05 miles in 40 mins and felt alright. Humidity.... that is all I have to say. {link}",1,NA
"At 4$ per gallon, I don't care how hot it is outside. The A/C stays off. #sweaty",1,NA
"Yuengling, acoustic guitars, rainy Pittsburgh day, porch, good friends. I don't need a million dollars to be #happy.",3,NA
"So cold *shivers* i need heat and humidity.. And WV is the worst place for it.",1,NA
"Severe storm threat has passed Sioux Falls. Heavy rain, lightning and small hail possible. General trend has storms weakening. #sdwx",2,NA
"Everybody be out here on dese hot days",2,NA
"#WEATHER:  8:54 am : 58.0F. Feels 56F. 29.97% Humidity. 10.4MPH Southeast Wind.",2,NA
"Beautiful, sunny day & a snack outside! {link}",3,NA
"#WEATHER:  10:53 am: 84.0F. Feels F. 29.92% Humidity. 9.2MPH Southwest Wind.",2,NA
"It's 88 degrees",2,NA
"@mention That's about what our temp is here, too!!  It was rather warm yesterday til storms - now it's so cold again!!  =/",1,NA
"RT @mention: I love this weather.",3,NA
"#WEATHER:  12:56 am: 56.0F. Feels 52F. 29.81% Humidity. 18.4MPH Southwest Wind.",2,NA
"It's going to be a great weekend.  Star party and great weather.  Murphy is doing her happy dance.",3,NA
"Hoping for great weather through next Monday at least :)",3,NA
"Littleton, Colorado Weather :: 45F OVERCAST {link} #Weather",2,NA
"God it's hot!!!!!! I don't see how there old folks trying to sit outside and smoke cigarettes. :/ I'm bout to die!!!",1,NA
"Pinpoint Weather Forecast: {link}",2,NA
"Hello sunny Sunday!  It's a beautiful day and a great day to win a treat from Secret Gardens Candle Company.... {link}",3,NA
"@mention send some of that weather to Louisville for the Derby it's raining here",1,NA
"Damn back to being chilly again so I'm thinking we'll be killing it with 30% on all long sleeves buy a long sleeve... {link}",1,NA
"San Antonio, Texas Weather :: 92F FAIR from San Antonio, Texas Weather {link}",2,NA
"RT @mention: SEVERE STORM WARNING SE MN  13 MILES NORTH OF WINDOM...AND MOVING NORTH AT 40 MPH {link} for HD weather ...",2,NA
"New event. Severe Thunderstorm Warning from 5/24/2011 6:18 PM to 7:15 PM CDT for Tarrant County... Read more at {link}",2,NA
"Bravo with today's weather! {link}",3,NA
"Coal Creek Canyon, in the mountains west of #Denver, recently measured nearly 15 inches of #snow",2,NA
"Perfect sunny day. #Houston  @ Starbucks #10653 {link}/",3,NA
"Loveeeee going to work on days like today :) sunshine and playing at the park.",3,NA
"Happy sunny Monday morning! Check out the great additions to our Pre-owned car lot! If you see one that 'tickles... {link}",3,NA
"@mention do u have an awning to sit under and enjoy this weather?",3,NA
"Driving home in this storm omg I cant see!!!",1,NA
"@mention You should fly down south to San Antonio today so I can go see you! It's nice weather in TX, yo!",3,NA
"Drive to lex in this rain storm might not have been the brightest idea of the day. #woops",1,NA
"#WEATHER:  7:56 am : 63.0F. Feels 62F. 29.94% Humidity. 9.2MPH Southwest Wind.",2,NA
"I'm not usual give to weather-related tweets,  but where the hell is spring already? #raincoldfog",1,NA
"It's funny that's its hotter in Lincoln than it is here today... but I will take 80 degrees while I can.",3,NA
"#WEATHER: 8:53 pm P: 62.0F. Feels 62F. 29.99% Humidity. 5.8MPH Southwest Wind.",2,NA
"@mention well then I guess I'll say good night right now just in case, oh i love that weather it's like that here too, sunny at times",3,NA
"RT @mention: Huge storm in ATX. Finally!!",3,NA
"May is my favorite month in California so far :) gotta love this weather",3,NA
"At least the weather is nice. Goodmorning everyone! :)",3,NA
"#WEATHER:  9:51 pm : 83.0F. Feels F. 29.77% Humidity. 4.6MPH Southwest Wind.",2,NA
"RT @mention: Good morning Seattle, I love your sunny face today!",3,NA
"This weather makes me want to bake cinnamon rolls, cuddle under a blanket, and watch an entire season of ""Friday Night Lights"". #wishes",3,NA
"Just had to choose between sunshine and Grateful Dead. Sunshine won. :D (Weather is PERFECT today!)",3,NA
"right gorgeous weather by the looks of it - I am off out to enjoy it #noworktoday",3,NA
"@mention @mention Yes!!  Snow = BTD :)",3,NA
"Woke uo too early gor weekends and the weather is bad &gt;&lt;rain...buuut will see my girls soon!))",1,NA
"Mpls Tornado Ruled Strong EF1 or EF2: The National Weather Service has concluded that the deadly tornado that swept... {link}",2,NA
"New severe t-storm warning for clark ouchita and dallas counties until 915pm.  Storm with large hail located SW of Camden moving NE #ARwx",2,NA
"I Love This Weather Up Here :D RT @mention Hows the weather up there?",3,NA
"Sunny Monday Morning to Everyone!! :) {link}",3,NA
"Ah... Warm weather, delicious blue moon, and country music.",3,NA
"RT @mention: Wow!  The high today will be 82!  Perfect weather to pack your lunch and come spend the day, or maybe just your... http: ...",3,NA
"RT @mention: Can't wait to get off and enjoy this beautiful weather =)",3,NA
"Jen_Walker_16: T'storm just south of Dover area. Should continue moving towards the Delaware and bypass the city... {link}",2,NA
"RT @mention: Beautiful morning on the lake. Think we may be getting lucky on the weather.  {link}",3,NA
"@mention all good over here.. another sunny day! I don't know what's going on with the world... :)",3,NA
"Boi it is Hottt! This is that ""don't leave the house until 7:30pm"" weather",1,NA
"@mention Welcome to #MKE Steve! Hope you find our lovely weather appealing :)",3,NA
"At 11:50, report of quarter sized hail in Bella Vista. Wouldn't be surprise to hear larger than that. This storm moving into Pea Ridge #arwx",2,NA
"So excited, not only is tomorrow Friday, but it is supposed to be 80 degrees.  It's going to be so be so great!  I can feel it already.",3,NA
"Loving this rain!! Would be great cuddle weather! * grabs body pillow* :)",3,NA
"I hate this stupid weather",1,NA
"Not used to this dreary weather! It seems like the weather thinks that Denver is in the Northwest!",1,NA
"Hello sunshine long time no see : )",3,NA
"I'm so mad it's 95 degrees. I stepped outside & instantly started sweating. Ewww",1,NA
"It s chilly as shit out here glad brought a jacket",1,NA
"Headed to sunny skies and sandy beaches with the Jayco camper! {link}",3,NA
"UK weather: 2-week heatwave as forecasters predict hottest May in 350 years {link}",2,NA
"A severe t-storm watch until 3pm remains in effect for Dallas, Ellis, Kaufman counties eastward but not for... {link}",2,NA
"still sweating, screw you warm weather, and screw you obesity",1,NA
"It's about to storm. We've been at lowes for an hour and a half. Kill me {link}",1,NA
"Minnesota weather strikes again. Yet another planned trip to the farmers market ruined by cold, rainy weather. Blergh.",1,NA
"Awesome run this morning! 4 miles, eight obstacles and beautiful sunshine! {link}",3,NA
"It would be cool to just chill with someone in this sunshine all day.",3,NA
"Happy Friday!  Hope everyone is taking advantage of the beautiful weather.",3,NA
"RT @mention: Tonight partly cloudy. Lows around 55. Tomorrow mostly cloudy. Highs around 78. Breezy. #OU #weather",2,NA
"@mention better if i had better weather and no allergies and no flem and a grilledcheese. can you make me a grilled cheese without mayo?",1,NA
"At the Berry Fest in Roseville. Nicest day in California yet! The weather's not too hot.",3,NA
"@mention yeah just got through with my route and chill in this ac its hot as hell out here",1,NA
"Potentially ugly weather in the forecast over the next 24 hours. Stay alert and be prepared! {link}",2,NA
"#WEATHER:  7:54 am : 41.0F. Feels 36F. 29.85% Humidity. 6.9MPH West Wind.",2,NA
"Gorgeous weather in #btv! #VBSR conference today but too busy to go. Hope it's a great one!",3,NA
"Windy weather keeps fishermen out of water; salmon season looking stronger ...: Since the season began May 14, l... {link}",2,NA
"San Antonio, Texas Weather :: 66F FAIR from San Antonio, Texas Weather {link}",2,NA
"It's a beautiful  sunny and warm day in Moscow ID as grad. intendents line up {link}",3,NA
"@mention Surving. Achy with this wet weather.",1,NA
"RL: Fair and Windy and 89 F at Roswell/Industrial, NM Winds are from the Southwest at 29.9 gusting to 42.6 MPH (26 gust {link}",2,NA
"RT @mention: RT @mention: To all my people in the Dallas area, please get somewhere safe and pay attention to the weather warnings",2,NA
"@mention no good!  Although nothing like a sunny warm day at the beach in SD... One of my favorite cities!",3,NA
"#WEATHER:  4:54 am : 57.0F. Feels F. 30.10% Humidity. 3.5MPH West Wind.",2,NA
"#Sun! Flip-flops left in car came in handy during this unexpected bit of warm, sunny weather.",3,NA
"Beer the sun disappeared behind some clouds&  it's a bit chilly now...date with my guitar officially moved to inside the house!",1,NA
"#WEATHER:  2:56 am : 51.0F. Feels 49F. 30.04% Humidity. 5.8MPH Southwest Wind.",2,NA
"@mention AMEN to that...we have had amazing weather. I would not complain at all if it stayed like this all summer long!!!",3,NA
"#inwx Blackford, Jay, Grant, Wells, Adams, Huntington.  Severe Thunderstorm Warning unti 8:30pm.  Extreme hail indicated.",2,NA
"just got back to milwaukee. same weather as nyc. #disappointed + #depressed",1,NA
"BULLETIN - EAS ACTIVATION REQUESTED TORNADO WARNING NATIONAL WEATHER SERVICE HASTINGS NE 656 PM CDT THU MAY 12 2011  THE NATIONAL WEATHER S",2,NA
"How the La Nina weather phenomenon will weaken through summer and may affect the storm season. {link}",2,NA
"Looking 4ward 2 the beautiful weather on deck 4 this weekend.",3,NA
"Missin my better half ... Lookin forward to warmer temps and sunshine tomorrow!!!!",3,NA
"Your safety is important to us.  Please visit {link} for updates on today's anticipated storm... {link}",2,NA
"@mention Happy Birthday....weather is so shitty yeeeesh! Well atleast smile bright :D",1,NA
"What happened to the sunshine?!? Dislike.",1,NA
"One day its 94 degrees next day it is 54 wtf? Smh STL is completely on one",1,NA
"Current Conditions: Fair, 63 FForecast: Mon - Mostly Sunny. High: 77 Low: 59 Tue - Mostly Sunny. High: 77 Low: 58Full Forecast at Yah...",2,NA
"Gardner WX 05/15/11 10:00 PM | 49F, 74&#x25; Humidity, Feels Like 49F | Alerts: NO CURRENT ADVISORIES | {link}",2,NA
"#WEATHER: 8:53 pm P: 60.0F. Feels 59F. 29.89% Humidity. 8.1MPH North Wind.",2,NA
"Enjoy the wonderful weather in Pittsburgh!",3,NA
"@mention If it's any consolation, the weather always sucks for River Bank :P",1,NA
"Hello clear, sunny skies.  A nice break from the rain :)",3,NA
"RT @mention: #RAH STRONG THUNDERSTORMS WILL MOVE ACROSS GUILFORD AND ALAMANCE COUNTIES THROUGH 600 PM EDT for  Alamance, Guilford  ht ...",2,NA
"Thunderstorms a'comin!!!! Woot! ^_^",3,NA
"RT @mention: Sunday Weather ... 92 & temps dropping. Lisa being prepped for big council budget meeting Tuesday by Lamar W. She t ...",2,NA
"#WEATHER:  5:55 pm : 75.0F. Feels F. 29.64% Humidity. 12.7MPH South Wind.",2,NA
"@mention where r u?? Be safe! Bad weather freaks me the freak out.",1,NA
"RT @mention: Now back in sunny LA on my way to work!! Shooting a very important scene for me today:)",3,NA
"#WEATHER: 6:56 am M: 52.0F. Feels F. 29.82% Humidity. 3.5MPH Southeast Wind.",2,NA
"Enjoying this beautiful sunny day!!!",3,NA
"There's something about a sunny day, windows down and 80's rock that makes a girl smile :) #80's #BonJovi",3,NA
"RT @mention: I prefer 80 degrees two days ago and 40 degrees today rather than flash floods, hurricanes, and earthquakes. But this shit ...",1,NA
"Outside: 58.0 F, Humidity: 82%, Wind: (97) 0 mph, Press: 29.93"", Rain: 0.00",2,NA
"Photo: Been psyched on alot of things lately - nice people, nice weather and nice surprises in the mail.... {link}",3,NA
"Love this weather!!! Pulling out the #swimmingsuit &lt;3",3,NA
"The bad weather across the country is getting in the way of my fantasy baseball team! #annoyed",1,NA
"bikini weather coming.! #ILoveTheBeach",3,NA
"RT @mention: Day 4-6 Severe weather each day for TX OK KS. Looks like same areas will have severe weather repeatedly {link}. ...",2,NA
"Rain, cricket off. Typical. Every pre-season game in glorious sunshine, first league game off due to rain. Eff!",1,NA
"It's so cold this morning. Where's nice May weather?",1,NA
"Red Flag Warning (fire weather conditions) from 11am to 8pm for northern & eastern Arizona. {link}",2,NA
"Overnight thunderstorms {link}",2,NA
"Wah. Cold and rainy. Not my favorite combination.",1,NA
"Darn the weather @mention. We plan to be there either way.",1,NA
